,country_code,co2_per_cap,Country
0,AFE,0.917507479649953,Africa Eastern and Southern
1,AFW,0.486456127598732,Africa Western and Central
2,ARB,4.37507379759258,Arab World
3,CSS,5.14884709571356,Caribbean small states
4,CEB,6.56885298527047,Central Europe and the Baltics
5,EAR,2.27970195339652,Early-demographic dividend
6,EAS,6.40685132381606,East Asia & Pacific
7,EAP,5.81165167044439,East Asia & Pacific (excluding high income)
8,TEA,5.85912449988089,East Asia & Pacific (IDA & IBRD)
9,EMU,6.43726344322139,Euro area
10,ECS,6.74193066052015,Europe & Central Asia
11,ECA,7.36413375269366,Europe & Central Asia (excluding high income)
12,TEC,7.25510471474517,Europe & Central Asia (IDA & IBRD)
13,EUU,6.40452726466074,European Union
14,FCS,0.784647558621249,Fragile and conflict affected situations
15,HPC,0.285080977122105,Heavily indebted poor countries (HIPC)
16,,10.1313086851795,
17,IBD,4.42631887731666,IBRD only
18,IBT,3.43816223357416,IDA & IBRD total
19,IDB,0.850985857853046,IDA blend
20,IDX,0.383622215607337,IDA only
21,IDA,0.540819376593453,IDA total
22,LTE,6.60100767820176,Late-demographic dividend
23,LCN,2.60792094634332,Latin America & Caribbean
24,LAC,2.39576604087297,Latin America & Caribbean (excluding high income)
25,TLA,2.58513681182151,Latin America & Caribbean (IDA & IBRD)
26,LDC,0.33732957764827,Least developed countries: UN classification
27,LMY,3.39027643549874,Low & middle income
28,,0.29093339286766,
29,,1.75216475299244,
30,MEA,5.59605299992466,Middle East & North Africa
31,MNA,3.84229012915311,Middle East & North Africa (excluding high income)
32,TMN,3.84681165383072,Middle East & North Africa (IDA & IBRD)
33,MIC,3.74319475640842,Middle income
34,NAC,15.2685232655927,North America
35,,,
36,OED,8.81930330677621,OECD members
37,OSS,6.15019464644552,Other small states
38,PSS,1.38881195975282,Pacific island small states
39,PST,9.86823638920739,Post-demographic dividend
40,PRE,0.504510619526199,Pre-demographic dividend
41,SST,5.68073433158829,Small states
42,SAS,1.52596228554756,South Asia
43,TSA,1.52596228554756,South Asia (IDA & IBRD)
44,SSF,0.743527308610939,Sub-Saharan Africa
45,SSA,0.743056112103654,Sub-Saharan Africa (excluding high income)
46,TSS,0.743527308610939,Sub-Saharan Africa (IDA & IBRD)
47,,6.35039303600069,
48,WLD,4.51014474490566,World
49,AFG,0.163295300459884,Afghanistan
50,ALB,1.78273894754715,Albania
51,DZA,3.92010908498775,Algeria
52,ASM,,American Samoa
53,AND,6.36297539913701,Andorra
54,AGO,0.777674934412,Angola
55,ATG,5.29694013900061,Antigua and Barbuda
56,ARG,3.97577197057929,Argentina
57,ARM,1.93445157896542,Armenia
58,ABW,,Aruba
59,AUS,15.4935292521053,Australia
60,AUT,7.13306391934265,Austria
61,AZE,3.2928323542098,Azerbaijan
62,BHS,7.26075162346851,"Bahamas, The"
63,BHR,19.6312056949883,Bahrain
64,BGD,0.517113004701256,Bangladesh
65,BRB,4.32598384571846,Barbados
66,BLR,6.24550731507705,Belarus
67,BEL,8.19633858929077,Belgium
68,BLZ,1.64460372941734,Belize
69,BEN,0.64605811617413,Benin
70,BMU,,Bermuda
71,BTN,1.39184188717369,Bhutan
72,BOL,2.04612992900962,Bolivia
73,BIH,6.79918264844697,Bosnia and Herzegovina
74,BWA,3.24302691214571,Botswana
75,BRA,2.07185467654344,Brazil
76,VGB,,British Virgin Islands
77,BRN,17.5773964049166,Brunei Darussalam
78,BGR,5.82203361005485,Bulgaria
79,BFA,0.23643814977045,Burkina Faso
80,BDI,0.0617428722207823,Burundi
81,CPV,1.12181022337837,Cabo Verde
82,KHM,0.897242083589738,Cambodia
83,CMR,0.380310155918353,Cameroon
84,CAN,15.6505790424074,Canada
85,CYM,,Cayman Islands
86,CAF,0.049288795729517,Central African Republic
87,TCD,0.141493648080268,Chad
88,CHI,,Channel Islands
89,CHL,4.624338350696,Chile
90,CHN,7.48733189390915,China
91,COL,1.58252769207909,Colombia
92,COM,0.360437441183735,Comoros
93,COD,0.037112771461009,"Congo, Dem. Rep."
94,COG,1.23751917461056,"Congo, Rep."
95,CRI,1.67418648148585,Costa Rica
96,CIV,0.406474439234115,Côte d'Ivoire
97,HRV,4.01923466854666,Croatia
98,CUB,2.35576425673763,Cuba
99,CUW,,Curaçao
100,CYP,6.05417461355457,Cyprus
101,CZE,9.49206819894537,Czech Republic
102,DNK,5.71834355284233,Denmark
103,DJI,0.417134645806247,Djibouti
104,DMA,2.37343983732358,Dominica
105,DOM,2.38163633813877,Dominican Republic
106,ECU,2.34951743812269,Ecuador
107,EGY,2.51880645114074,"Egypt, Arab Rep."
108,SLV,1.06062540186638,El Salvador
109,GNQ,4.91227413724926,Equatorial Guinea
110,ERI,0.246177236553976,Eritrea
111,EST,11.5887036573437,Estonia
112,SWZ,0.800863195167754,Eswatini
113,ETH,0.157840173008197,Ethiopia
114,FRO,,Faroe Islands
115,FJI,1.84495579489483,Fiji
116,FIN,8.08263979060102,Finland
117,FRA,4.57587416327621,France
118,PYF,,French Polynesia
119,GAB,2.41592048486349,Gabon
120,GMB,0.24121834203222,"Gambia, The"
121,GEO,2.56805953573245,Georgia
122,DEU,8.53619609072659,Germany
123,GHA,0.627538298486228,Ghana
124,GIB,,Gibraltar
125,GRC,6.05801840018985,Greece
126,GRL,,Greenland
127,GRD,2.87126840839705,Grenada
128,GUM,,Guam
129,GTM,1.12069833790549,Guatemala
130,GIN,0.302071193427704,Guinea
131,GNB,0.170730037842017,Guinea-Bissau
132,GUY,3.32474536707541,Guyana
133,HTI,0.295778641945658,Haiti
134,HND,1.04823740091522,Honduras
135,HKG,,"Hong Kong SAR, China"
136,HUN,4.74652935890747,Hungary
137,ISL,4.81967347473986,Iceland
138,IND,1.8126964996263,India
139,IDN,2.15559758961146,Indonesia
140,IRN,7.79252326407133,"Iran, Islamic Rep."
141,IRQ,4.24498295544919,Iraq
142,IRL,7.73732378325387,Ireland
143,IMN,,Isle of Man
144,ISR,6.87621041012459,Israel
145,ITA,5.37687092998968,Italy
146,JAM,2.93370729528097,Jamaica
147,JPN,8.80168143468674,Japan
148,JOR,2.48662318052999,Jordan
149,KAZ,11.8513158956408,Kazakhstan
150,KEN,0.340321563430632,Kenya
151,KIR,0.776920318850492,Kiribati
152,PRK,1.97772125250373,"Korea, Dem. People's Rep."
153,KOR,12.2252458192145,"Korea, Rep."
154,XKX,,Kosovo
155,KWT,22.0892103885875,Kuwait
156,KGZ,1.77927500474473,Kyrgyz Republic
157,LAO,2.74162799597927,Lao PDR
158,LVA,4.04218817909178,Latvia
159,LBN,4.05137016423681,Lebanon
160,LSO,0.346246108442137,Lesotho
161,LBR,0.23448964992389,Liberia
162,LBY,8.47786896315074,Libya
163,LIE,3.69217787320128,Liechtenstein
164,LTU,4.15842256161348,Lithuania
165,LUX,15.3302075743469,Luxembourg
166,MAC,,"Macao SAR, China"
167,MDG,0.127559210212466,Madagascar
168,MWI,0.0760614915951572,Malawi
169,MYS,7.75214881505957,Malaysia
170,MDV,4.07210319220439,Maldives
171,MLI,0.28672135637509,Mali
172,MLT,3.19831614286421,Malta
173,MHL,3.08155870630276,Marshall Islands
174,MRT,0.838005586980995,Mauritania
175,MUS,3.26404040331914,Mauritius
176,MEX,3.58639514036944,Mexico
177,FSM,1.50923297042027,"Micronesia, Fed. Sts."
178,MDA,3.15336969746594,Moldova
179,MCO,,Monaco
180,MNG,6.79764811998827,Mongolia
181,MNE,4.01782629169097,Montenegro
182,MAR,1.80298755498571,Morocco
183,MOZ,0.235625091152676,Mozambique
184,MMR,0.61331279498846,Myanmar
185,NAM,1.72772945271147,Namibia
186,NRU,5.61902965526274,Nauru
187,NPL,0.540651882407653,Nepal
188,NLD,8.78385000800575,Netherlands
189,NCL,,New Caledonia
190,NZL,6.60327319315015,New Zealand
191,NIC,0.790348550431877,Nicaragua
192,NER,0.0868874362456198,Niger
193,NGA,0.561021958450874,Nigeria
194,MKD,3.51601021990228,North Macedonia
195,MNP,,Northern Mariana Islands
196,NOR,7.07654265477615,Norway
197,OMN,15.6538718639706,Oman
198,PAK,0.882587327654427,Pakistan
199,PLW,13.9579029646586,Palau
200,PAN,2.40850331387458,Panama
201,PNG,0.878423812858956,Papua New Guinea
202,PRY,1.21764178403475,Paraguay
203,PER,1.70650998554008,Peru
204,PHL,1.29927985117774,Philippines
205,POL,8.21361572260802,Poland
206,PRT,4.81338552923222,Portugal
207,PRI,,Puerto Rico
208,QAT,31.0675333014145,Qatar
209,ROU,3.86105156993701,Romania
210,RUS,11.4965712497165,Russian Federation
211,RWA,0.104861259352306,Rwanda
212,WSM,1.47862616074885,Samoa
213,SMR,,San Marino
214,STP,0.663406500417216,São Tomé and Principe
215,SAU,15.4663907693256,Saudi Arabia
216,SEN,0.642096143940025,Senegal
217,SRB,6.60641804520422,Serbia
218,SYC,5.99408841601764,Seychelles
219,SLE,0.112416112980952,Sierra Leone
220,SGP,8.40622896684947,Singapore
221,SXM,,Sint Maarten (Dutch part)
222,SVK,6.05863547411852,Slovak Republic
223,SVN,6.78433887885504,Slovenia
224,SLB,0.551423306678831,Solomon Islands
225,SOM,0.0439758883029835,Somalia
226,ZAF,7.51567860518136,South Africa
227,SSD,0.141218174644456,South Sudan
228,ESP,5.49257147137707,Spain
229,LKA,1.00092295957811,Sri Lanka
230,KNA,4.76753499370685,St. Kitts and Nevis
231,LCA,2.91384887233917,St. Lucia
232,MAF,,St. Martin (French part)
233,VCT,2.26839669721441,St. Vincent and the Grenadines
234,SDN,0.499024787186068,Sudan
235,SUR,3.83689221830869,Suriname
236,SWE,3.53899174224082,Sweden
237,CHE,4.4019909898051,Switzerland
238,SYR,1.61640006921476,Syrian Arab Republic
239,TJK,0.953757414576443,Tajikistan
240,TZA,0.21309298717372,Tanzania
241,THA,3.70237234135977,Thailand
242,TLS,0.481082051542905,Timor-Leste
243,TGO,0.292809243998144,Togo
244,TON,1.55040258552623,Tonga
245,TTO,12.7928307530469,Trinidad and Tobago
246,TUN,2.58447684745771,Tunisia
247,TUR,5.00035901085763,Türkiye
248,TKM,12.4852549319332,Turkmenistan
249,TCA,,Turks and Caicos Islands
250,TUV,0.869187290437425,Tuvalu
251,UGA,0.137143292492898,Uganda
252,UKR,4.15978307448244,Ukraine
253,ARE,18.390678060455,United Arab Emirates
254,GBR,5.42774817696291,United Kingdom
255,USA,15.2225476514566,United States
256,URY,1.89604236287846,Uruguay
257,UZB,3.41272180933736,Uzbekistan
258,VUT,0.717519410415953,Vanuatu
259,VEN,4.57401148348632,"Venezuela, RB"
260,VNM,2.9891374694718,Vietnam
261,VIR,,Virgin Islands (U.S.)
262,PSE,,West Bank and Gaza
263,YEM,0.341068401898741,"Yemen, Rep."
264,ZMB,0.445489132605199,Zambia
265,ZWE,0.85741126863075,Zimbabwe
