,country_code,gdp_per_capita,total_co2,co2_per_cap,population,country_x,country_y,standardized
0,AFE,1541.031661,590040.0053,0.91750748,643090131,Africa Eastern and Southern,Africa Eastern and Southern,Africa Eastern and Southern
1,AFW,1704.135698,211719.9993,0.486456128,435229381,Africa Western and Central,Africa Western and Central,Africa Western and Central
2,ARB,6635.381394,1836883.436,4.375073798,419851989,Arab World,Arab World,Arab World
3,CSS,10250.29173,37890.00021,5.148847096,7358929,Caribbean small states,Caribbean small states,Caribbean small states
4,CEB,16047.2797,673560.01,6.568852985,102538451,Central Europe and the Baltics,Central Europe and the Baltics,Central Europe and the Baltics
5,EAR,3509.754222,7405414.813,2.279701953,3248413593,Early-demographic dividend,Early-demographic dividend,Early-demographic dividend
6,EAS,11324.00488,14982328.2,6.406851324,2338485387,East Asia & Pacific,East Asia & Pacific,East Asia & Pacific
7,EAP,7954.762525,12156221.56,5.81165167,2091698238,East Asia & Pacific (excluding high income),East Asia & Pacific (excluding high income),East Asia & Pacific (excluding high income)
8,TEA,8042.948352,12105559.68,5.8591245,2066103849,East Asia & Pacific (IDA & IBRD),East Asia & Pacific (IDA & IBRD),East Asia & Pacific (IDA & IBRD)
9,EMU,40059.18248,2201410.016,6.437263443,341979171,Euro area,Euro area,Euro area
10,ECS,25297.67986,6189301.717,6.741930661,918031055,Europe & Central Asia,Europe & Central Asia,Europe & Central Asia
11,ECA,8008.257108,2926551.697,7.364133753,397406103,Europe & Central Asia (excluding high income),Europe & Central Asia (excluding high income),Europe & Central Asia (excluding high income)
12,TEC,8876.157251,3329677.1,7.255104715,458942666,Europe & Central Asia (IDA & IBRD),Europe & Central Asia (IDA & IBRD),Europe & Central Asia (IDA & IBRD)
13,EUU,35753.36685,2862280.026,6.404527265,446915113,European Union,European Union,European Union
14,FCS,1826.833266,721956.9908,0.784647559,920103533,Fragile and conflict affected situations,Fragile and conflict affected situations,Fragile and conflict affected situations
15,HPC,987.1739045,222430.0002,0.285080977,780234453,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC)
16,IBD,6387.748819,21190309.62,4.426318877,4787343661,IBRD only,IBRD only,IBRD only
17,IBT,5110.911271,22076113.77,3.438162234,6420905201,IDA & IBRD total,IDA & IBRD total,IDA & IBRD total
18,IDB,1835.321807,467299.9979,0.850985858,549127807,IDA blend,IDA blend,IDA blend
19,IDX,1133.259641,416012.8713,0.383622216,1084433733,IDA only,IDA only,IDA only
20,IDA,1369.260457,883461.7337,0.540819377,1633561540,IDA total,IDA total,IDA total
21,LTE,9832.141379,15168288.37,6.601007678,2297874675,Late-demographic dividend,Late-demographic dividend,Late-demographic dividend
22,LCN,8902.399152,1670331.188,2.607920946,640483827,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean
23,LAC,8357.124704,1387759.985,2.395766041,579255220,Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income)
24,TLA,8740.515234,1614929.993,2.585136812,624698076,Latin America & Caribbean (IDA & IBRD),Latin America & Caribbean (IDA & IBRD),Latin America & Caribbean (IDA & IBRD)
25,LDC,1077.493342,340499.9957,0.337329578,1009398577,Least developed countries: UN classification,Least developed countries: UN classification,Least developed countries: UN classification
26,LMY,4933.697969,21507888.27,3.390276435,6343992496,Low & middle income,Low & middle income,Low & middle income
27,MEA,7704.420769,2512483.598,5.596053,448974232,Middle East & North Africa,Middle East & North Africa,Middle East & North Africa
28,MNA,3604.925763,1471424.858,3.842290129,382955167,Middle East & North Africa (excluding high income),Middle East & North Africa (excluding high income),Middle East & North Africa (excluding high income)
29,TMN,3605.440104,1455579.982,3.846811654,378386080,Middle East & North Africa (IDA & IBRD),Middle East & North Africa (IDA & IBRD),Middle East & North Africa (IDA & IBRD)
30,MIC,5415.611006,21319341.59,3.743194756,5695493550,Middle income,Middle income,Middle income
31,NAC,61158.56356,5557241.676,15.26852327,363967201,North America,North America,North America
32,OED,39306.7924,11979080.18,8.819303307,1358279647,OECD members,OECD members,OECD members
33,OSS,14368.92697,189182.8718,6.150194646,30760469,Other small states,Other small states,Other small states
34,PSS,4340.564704,3410.000002,1.38881196,2455336,Pacific island small states,Pacific island small states,Pacific island small states
35,PST,45413.55092,10953863.97,9.868236389,1110012320,Post-demographic dividend,Post-demographic dividend,Post-demographic dividend
36,PRE,1438.529516,463889.9924,0.50451062,919485090,Pre-demographic dividend,Pre-demographic dividend,Pre-demographic dividend
37,SST,13015.08585,230494.2844,5.680734332,40574734,Small states,Small states,Small states
38,SAS,1944.006635,2768789.926,1.525962286,1814455018,South Asia,South Asia,South Asia
39,TSA,1944.006635,2768789.926,1.525962286,1814455018,South Asia (IDA & IBRD),South Asia (IDA & IBRD),South Asia (IDA & IBRD)
40,SSF,1606.863419,801760.0046,0.743527309,1078319512,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
41,SSA,1605.490023,801180.0046,0.743056112,1078222750,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (excluding high income)
