,country_code,gdp_per_capita,Country
0,AFE,1541.03166126289,Africa Eastern and Southern
1,AFW,1704.13569844318,Africa Western and Central
2,ARB,6635.38139369641,Arab World
3,CSS,10250.2917323397,Caribbean small states
4,CEB,16047.2796999215,Central Europe and the Baltics
5,EAR,3509.75422160638,Early-demographic dividend
6,EAS,11324.0048838657,East Asia & Pacific
7,EAP,7954.76252492483,East Asia & Pacific (excluding high income)
8,TEA,8042.94835173201,East Asia & Pacific (IDA & IBRD)
9,EMU,40059.1824769881,Euro area
10,ECS,25297.6798609025,Europe & Central Asia
11,ECA,8008.25710825888,Europe & Central Asia (excluding high income)
12,TEC,8876.1572505674,Europe & Central Asia (IDA & IBRD)
13,EUU,35753.3668481949,European Union
14,FCS,1826.83326554318,Fragile and conflict affected situations
15,HPC,987.173904512955,Heavily indebted poor countries (HIPC)
16,,44571.4335819118,
17,IBD,6387.74881862417,IBRD only
18,IBT,5110.91127118716,IDA & IBRD total
19,IDB,1835.3218066323,IDA blend
20,IDX,1133.25964074892,IDA only
21,IDA,1369.26045742413,IDA total
22,LTE,9832.14137916349,Late-demographic dividend
23,LCN,8902.39915241187,Latin America & Caribbean
24,LAC,8357.12470404998,Latin America & Caribbean (excluding high income)
25,TLA,8740.51523365837,Latin America & Caribbean (IDA & IBRD)
26,LDC,1077.49334233358,Least developed countries: UN classification
27,LMY,4933.69796934306,Low & middle income
28,,699.411435185585,
29,,2335.30312516721,
30,MEA,7704.42076926474,Middle East & North Africa
31,MNA,3604.9257626831,Middle East & North Africa (excluding high income)
32,TMN,3605.44010358655,Middle East & North Africa (IDA & IBRD)
33,MIC,5415.61100632926,Middle income
34,NAC,61158.5635590912,North America
35,,,
36,OED,39306.7924048156,OECD members
37,OSS,14368.9269681098,Other small states
38,PSS,4340.56470402293,Pacific island small states
39,PST,45413.5509179499,Post-demographic dividend
40,PRE,1438.52951623925,Pre-demographic dividend
41,SST,13015.085851986,Small states
42,SAS,1944.00663468586,South Asia
43,TSA,1944.00663468586,South Asia (IDA & IBRD)
44,SSF,1606.86341924427,Sub-Saharan Africa
45,SSA,1605.49002331914,Sub-Saharan Africa (excluding high income)
46,TSS,1606.86341924427,Sub-Saharan Africa (IDA & IBRD)
47,,9448.6348536615,
48,WLD,11366.0736692165,World
49,AFG,485.668418729808,Afghanistan
50,ALB,5287.66369446913,Albania
51,DZA,4142.01855842917,Algeria
52,ASM,11521.6097798453,American Samoa
53,AND,41793.3188365378,Andorra
54,AGO,2524.94248263123,Angola
55,ATG,16679.5916624545,Antigua and Barbuda
56,ARG,11795.1593866287,Argentina
57,ARM,4220.54032079145,Armenia
58,ABW,30253.7142345626,Aruba
59,AUS,57180.7794001614,Australia
60,AUT,51486.5755014824,Austria
61,AZE,4739.84171028393,Azerbaijan
62,BHS,33077.3918342474,"Bahamas, The"
63,BHR,24086.3016866837,Bahrain
