,country_code,total_co2,Country
0,AFE,590040.005281568,Africa Eastern and Southern
1,AFW,211719.999298453,Africa Western and Central
2,ARB,1836883.43594103,Arab World
3,CSS,37890.0002092123,Caribbean small states
4,CEB,673560.00995636,Central Europe and the Baltics
5,EAR,7405414.8134019,Early-demographic dividend
6,EAS,14982328.1974255,East Asia & Pacific
7,EAP,12156221.5589383,East Asia & Pacific (excluding high income)
8,TEA,12105559.6809741,East Asia & Pacific (IDA & IBRD)
9,EMU,2201410.01582146,Euro area
10,ECS,6189301.71701416,Europe & Central Asia
11,ECA,2926551.69662875,Europe & Central Asia (excluding high income)
12,TEC,3329677.09989432,Europe & Central Asia (IDA & IBRD)
13,EUU,2862280.02619743,European Union
14,FCS,721956.990847235,Fragile and conflict affected situations
15,HPC,222430.000245571,Heavily indebted poor countries (HIPC)
16,,12459854.4194265,
17,IBD,21190309.6188866,IBRD only
18,IBT,22076113.7674381,IDA & IBRD total
19,IDB,467299.997910857,IDA blend
20,IDX,416012.871332795,IDA only
21,IDA,883461.733689842,IDA total
22,LTE,15168288.3732204,Late-demographic dividend
23,LCN,1670331.18822743,Latin America & Caribbean
24,LAC,1387759.9850744,Latin America & Caribbean (excluding high income)
25,TLA,1614929.99254167,Latin America & Caribbean (IDA & IBRD)
26,LDC,340499.995658174,Least developed countries: UN classification
27,LMY,21507888.2661696,Low & middle income
28,,188669.998630881,
29,,5658014.18192263,
30,MEA,2512483.59787247,Middle East & North Africa
31,MNA,1471424.85807228,Middle East & North Africa (excluding high income)
32,TMN,1455579.98219132,Middle East & North Africa (IDA & IBRD)
33,MIC,21319341.591518,Middle income
34,NAC,5557241.67638117,North America
35,,,
36,OED,11979080.1823139,OECD members
37,OSS,189182.871765953,Other small states
38,PSS,3410.00000201166,Pacific island small states
39,PST,10953863.9686925,Post-demographic dividend
40,PRE,463889.992401003,Pre-demographic dividend
41,SST,230494.284428863,Small states
42,SAS,2768789.92629052,South Asia
43,TSA,2768789.92629052,South Asia (IDA & IBRD)
44,SSF,801760.004580021,Sub-Saharan Africa
45,SSA,801180.00459671,Sub-Saharan Africa (excluding high income)
46,TSS,801760.004580021,Sub-Saharan Africa (IDA & IBRD)
47,,15662209.6966048,
48,WLD,34289350.6607638,World
49,AFG,6070.00017166138,Afghanistan
50,ALB,5110.0001335144,Albania
51,DZA,165539.993286133,Algeria
52,ASM,,American Samoa
53,AND,490.000009536743,Andorra
54,AGO,23959.9990844727,Angola
55,ATG,509.999990463257,Antigua and Barbuda
56,ARG,176899.993896484,Argentina
57,ARM,5710.00003814697,Armenia
58,ABW,,Aruba
59,AUS,387070.007324219,Australia
60,AUT,63060.001373291,Austria
61,AZE,32729.9995422363,Azerbaijan
62,BHS,2799.99995231628,"Bahamas, The"
63,BHR,30809.9994659424,Bahrain
64,BGD,83449.9969482422,Bangladesh
65,BRB,1240.00000953674,Barbados
66,BLR,58950.0007629395,Belarus
67,BEL,93660.0036621094,Belgium
68,BLZ,629.999995231628,Belize
69,BEN,7420.00007629395,Benin
70,BMU,,Bermuda
71,BTN,1049.99995231628,Bhutan
72,BOL,23229.9995422363,Bolivia
73,BIH,22600.0003814697,Bosnia and Herzegovina
74,BWA,7309.99994277954,Botswana
75,BRA,433989.990234375,Brazil
76,VGB,,British Virgin Islands
77,BRN,7539.99996185303,Brunei Darussalam
78,BGR,40900.0015258789,Bulgaria
79,BFA,4670.00007629395,Burkina Faso
80,BDI,689.999997615814,Burundi
81,CPV,610.000014305115,Cabo Verde
82,KHM,14579.9999237061,Cambodia
83,CMR,9590.00015258789,Cameroon
84,CAN,580090.026855469,Canada
85,CYM,,Cayman Islands
86,CAF,230.000004172325,Central African Republic
87,TCD,2190.00005722046,Chad
88,CHI,,Channel Islands
